"result #	""search engine""	query	""article title""	""article url""	""article description""	""total nr of results (best guess)""",,,,,,,,
"0	duckduckgo	""Greta Thunberg""	""Greta Thunberg - Wikipedia""	https://nl.wikipedia.org/wiki/Greta_Thunberg	""Greta Thunberg (Stockholm"," 3 januari 2003) is een Zweedse klimaatactiviste. Ze raakte bekend toen ze besloot om na de zomervakantie tot de Zweedse ...""	100",,,,,,,
"1	duckduckgo	""Greta Thunberg""	""Greta Thunberg (@gretathunberg) • Instagram photos and videos""	https://www.instagram.com/gretathunberg/	""7.4m Followers", 920 Following," 415 Posts - See Instagram photos and videos from Greta Thunberg (@gretathunberg)""	100",,,,,,
"2	duckduckgo	""Greta Thunberg""	""Greta Thunberg - Wikipedia""	https://en.wikipedia.org/wiki/Greta_Thunberg	""Greta Thunberg FRSGS Thunberg in April 2019 Born Greta Tintin Eleonora Ernman Thunberg (2003-01-03) 3 January 2003 (age 16) Stockholm"," Sweden Occupation ...""	100",,,,,,,
"3	duckduckgo	""Greta Thunberg""	""Greta Thunberg - Home | Facebook""	https://www.facebook.com/gretathunbergsweden/	""Greta Thunberg. 2",400,932 likes · 1,524,"657 talking about this. 16 year old climate and environmental activist with Asperger&#x27;s #fridaysforfuture""	100",,,,
"4	duckduckgo	""Greta Thunberg""	""Greta Thunberg (@GretaThunberg) | Twitter""	https://twitter.com/GretaThunberg	""The latest Tweets from Greta Thunberg (@GretaThunberg). 16 year old climate and environmental activist with Asperger&#x27;s Join the global climate strikes on September ...""	100",,,,,,,,
"5	duckduckgo	""Greta Thunberg""	""Wie is het klimaatmeisje Greta Thunberg? | Buitenland | AD.nl""	https://www.ad.nl/buitenland/wie-is-het-klimaatmeisje-greta-thunberg~a85eb898/	""Ook in Nederland volgen scholieren donderdag het voorbeeld van de Zweedse Greta Thunberg (16)"," die al sinds de zomervakantie staakt voor het klimaat. Maar ...""	100",,,,,,,
"6	duckduckgo	""Greta Thunberg""	""Hoe de Zweedse Greta Thunberg (16) uit kon groeien tot icoon ...""	https://www.nrc.nl/nieuws/2019/02/01/het-gaat-om-overleven-a3652662	""Greta Thunberg: De 16-jarige Zweedse Greta Thunberg noemt zichzelf „een klimaatactivist met Asperger&quot;. Ze kon als kind al niet begrijpen dat niet ...""	100",,,,,,,,
"7	duckduckgo	""Greta Thunberg""	""Greta Thunberg - Wikipedia"," la enciclopedia libre""	https://es.wikipedia.org/wiki/Greta_Thunberg	""Greta Thunberg (Estocolmo", 3 de enero de 2003) es una activista medioambiental sueca," centrada en los riesgos planteados por el cambio climático.""	100",,,,,
"8	duckduckgo	""Greta Thunberg""	""Greta Thunberg - Wikipedia""	https://de.wikipedia.org/wiki/Greta_Thunberg	""Leben. Greta Thunberg ist die ältere von zwei Töchtern der Opernsängerin Malena Ernman und des Schauspielers Svante Thunberg. Zu ihren Großeltern zählen die ...""	100",,,,,,,,
"9	duckduckgo	""Greta Thunberg""	""Greta Thunberg — Wikipédia""	https://fr.wikipedia.org/wiki/Greta_Thunberg	""Greta Thunberg /² ɡ r e ː t a ² t ʉ ː n b æ r j / [a] Écouter", née le 3 janvier 2003 à Stockholm," est une militante suédoise pour la lutte contre le ...""	100",,,,,,
"10	duckduckgo	""Greta Thunberg""	""Greta Thunberg full speech at UN Climate Change COP24 Conference - YouTube""	https://www.youtube.com/watch?v=VFkQSGyeCWg	""15 year old activist Greta Thunberg speaks truth to power at the UN COP24 climate talks: &quot;My name is Greta Thunberg. I am 15 years old. I am from Sweden. I ...""	100",,,,,,,,
"11	duckduckgo	""Greta Thunberg""	""Greta Thunberg - Wikipedia""	https://it.wikipedia.org/wiki/Greta_Thunberg	""Biografia. Greta Thunberg è figlia della cantante d&#x27;opera Malena Ernman e dell&#x27;attore Svante Thunberg. Quando aveva 13 anni le fu diagnosticata la sindrome di ...""	100",,,,,,,,
"12	duckduckgo	""Greta Thunberg""	""Greta Thunberg | Speaker | TED""	https://www.ted.com/speakers/greta_thunberg	""Why you should listen. In August 2018"," Greta Thunberg started a school strike for the climate outside the Swedish Parliament that has since spread all over the world ...""	100",,,,,,,
"13	duckduckgo	""Greta Thunberg""	""Greta Thunberg - IMDb""	https://www.imdb.com/name/nm10361418/	""Greta Thunberg", Self: Climate Change: The Facts. Greta Thunberg was born on January 3," 2003 in Sweden as Greta Tintin Eleonora Ernman Thunberg. She is known for her ...""	100",,,,,,
